Strong,Cold,Warm,Sunny
Strong,Cold,Warm,Cloudy
Strong,Cold,Warm,Rainy
Strong,Cold,Cool,Sunny
Strong,Cold,Cool,Cloudy
Strong,Cold,Cool,Rainy
Strong,Moderate,Warm,Sunny
Strong,Moderate,Warm,Cloudy
Strong,Moderate,Warm,Rainy
Strong,Moderate,Cool,Sunny
Strong,Moderate,Cool,Cloudy
Strong,Moderate,Cool,Rainy
Strong,Warm,Warm,Sunny
Strong,Warm,Warm,Cloudy
Strong,Warm,Warm,Rainy
Strong,Warm,Cool,Sunny
Strong,Warm,Cool,Cloudy
Strong,Warm,Cool,Rainy
Weak,Cold,Warm,Sunny
Weak,Cold,Warm,Cloudy
Weak,Cold,Warm,Rainy
Weak,Cold,Cool,Sunny
Weak,Cold,Cool,Cloudy
Weak,Cold,Cool,Rainy
Weak,Moderate,Warm,Sunny
Weak,Moderate,Warm,Cloudy
Weak,Moderate,Warm,Rainy
Weak,Moderate,Cool,Sunny
Weak,Moderate,Cool,Cloudy
Weak,Moderate,Cool,Rainy
Weak,Warm,Warm,Sunny
Weak,Warm,Warm,Cloudy
Weak,Warm,Warm,Rainy
Weak,Warm,Cool,Sunny
Weak,Warm,Cool,Cloudy
Weak,Warm,Cool,Rainy
