"dataset","train","batchSz","hNodes","lRate","epochs","accTrnErr","NO","YES","runtime"
"fishing","ol",1,4,0.025,10,21.09,16,"20",0.2
"fishing","ol",1,4,0.05,10,22.19,9,"27",0.1
"fishing","ol",1,6,0.025,10,10.7,16,"20",0.1
"fishing","ol",1,6,0.05,10,11.98,21,"15",0.1
"fishing","ol",1,8,0.025,10,13.2,25,"11",0.2
"fishing","ol",1,8,0.05,10,15.18,19,"17",0.2
"fishing","ol",1,4,0.025,25,10.78,21,"15",0.2
"fishing","ol",1,4,0.05,25,14.57,21,"15",0.2
"fishing","ol",1,6,0.025,25,10.69,21,"15",0.4
"fishing","ol",1,6,0.05,25,7.52,21,"15",0.4
"fishing","ol",1,8,0.025,25,8.3,21,"15",0.5
"fishing","ol",1,8,0.05,25,14.49,21,"15",0.5
"fishing","ol",1,4,0.025,50,7.27,21,"15",0.5
"fishing","ol",1,4,0.05,50,5.98,21,"15",0.5
"fishing","ol",1,6,0.025,50,5.39,21,"15",0.7
"fishing","ol",1,6,0.05,50,8.78,21,"15",0.7
"fishing","ol",1,8,0.025,50,5.76,21,"15",1.0
"fishing","ol",1,8,0.05,50,3.92,21,"15",0.9
"fishing","ol",1,4,0.025,100,4.24,21,"15",1.0
"fishing","ol",1,4,0.05,100,3.27,21,"15",1.0
"fishing","ol",1,6,0.025,100,2.55,21,"15",1.4
"fishing","ol",1,6,0.05,100,3.91,21,"15",1.4
"fishing","ol",1,8,0.025,100,3.53,20,"16",1.9
"fishing","ol",1,8,0.05,100,2.71,21,"15",1.9
"fishing","ol",1,4,0.025,250,1.3,21,"15",2.5
"fishing","ol",1,4,0.05,250,1.28,21,"15",2.4
"fishing","ol",1,6,0.025,250,1.25,20,"16",3.6
"fishing","ol",1,6,0.05,250,1.1,21,"15",3.6
"fishing","ol",1,8,0.025,250,1.29,21,"15",4.7
"fishing","ol",1,8,0.05,250,1.13,20,"16",4.7
"fishing","ol",1,4,0.025,1000,0.32,20,"16",9.8
"fishing","ol",1,4,0.05,1000,0.35,20,"16",9.7
"fishing","ol",1,6,0.025,1000,0.26,21,"15",14.4
"fishing","ol",1,6,0.05,1000,0.23,20,"16",14.4
"fishing","ol",1,8,0.025,1000,0.29,20,"16",19.0
"fishing","ol",1,8,0.05,1000,0.38,20,"16",18.9
